title,year,forid,,,,
Contractual vs. Actual Separation Pay Following CEO Turnover.,2015,806,,,,
Information Content When Mutual Funds Deviate from Benchmarks.,2014,806,,,,
The Impact of Stakeholder Orientation on Innovation: Evidence from a Natural Experiment.,2016,806,,,,
A Smart Market for Industrial Procurement with Capacity Constraints.,2005,806,,,,
FORE! An Analysis of CEO Shirking.,2017,806,,,,
Price Dispersion and Loss Leader Pricing: Evidence from the Online Book Industry.,2013,806,,,,
Swift and Smart: The Moderating Effects of Technological Capabilities on the Market Pioneering Firm Survival Relationship.,2009,806,,,,
Metaheuristics with Local Search Techniques for Retail Shelf Space Optimization.,2004,806,,,,
"An Examination of the Efficiency, Foreclosure, and Collusion Rationales for Vertical Takeovers.",2012,806,,,,
Collaborative Consumption: Strategic and Economic Implications of Product Sharing.,2018,806,,,,
Generating Ambiguity in the Laboratory.,2011,806,,,,
The Value of Funds of Hedge Funds: Evidence from Their Holdings.,2015,806,,,,
The Colorblind Crowd? Founder Race and Performance in Crowdfunding.,2018,806,,,,
The Disciplinary Effects of Proxy Contests.,2017,806,,,,
On Portfolio Choice with Savoring and Disappointment.,2014,806,,,,
The Many Gifts of Status: How Attending to Audience Reactions Drives the Use of Status.,2018,806,,,,
Structural Estimation of Callers' Delay Sensitivity in Call Centers.,2013,806,,,,
Metrics   When and Why Nonaveraging Statistics Work.,2009,806,,,,
Generating Scenario Trees for Multistage Decision Problems.,2001,806,,,,
"Cost Structure, Customer Profitability, and Retention Implications of Self Service Distribution Channels: Evidence from Customer Behavior in an Online Banking Channel.",2010,806,,,,
The Role of Market Evolution in Channel Contracting.,2019,806,,,,
Location Strategies and Knowledge Spillovers.,2007,806,,,,
Public Forecast Information Sharing in a Market with Competing Supply Chains.,2016,806,,,,
Persistency Model and Its Applications in Choice Modeling.,2009,806,,,,
Final Demand for Structured Finance Securities.,2019,806,,,,
The Accrual Anomaly: Risk or Mispricing?,2012,806,,,,
An Experimental Test of Advice and Social Learning.,2010,806,,,,
The Influence of Software Process Maturity and Customer Error Reporting on Software Release and Pricing.,2013,806,,,,
On the Value of Flexibility in R&D Projects.,2005,806,,,,
Effect of Delays on Complexity of Organizational Learning.,2008,806,,,,
Pricing in Competitive Search Markets: The Roles of Price Information and Fairness Perceptions.,2018,806,,,,
Is Pay for Performance Detrimental to Innovation?,2013,806,,,,
Cash Flow News and the Investment Effect in the Cross Section of Stock Returns.,2016,806,,,,
Quasi Robust Multiagent Contracts.,2009,806,,,,
Understanding the Effect of Advertising on Stock Returns and Firm Value: Theory and Evidence from a Structural Model.,2014,806,,,,
Electronic and Physical Market Channels: A Multiyear Investigation in a Market for Products of Uncertain Quality.,2009,806,,,,
Dynamic Learning of Patient Response Types: An Application to Treating Chronic Diseases.,2018,806,,,,
Portfolio Choice Based on Third Degree Stochastic Dominance.,2017,806,,,,
Coping with Uncertainties in Technological Learning.,2010,806,,,,
50th Anniversary Article: The Evolution of Research on Information Systems: A Fiftieth Year Survey of the Literature in Management Science.,2004,806,,,,
Prospect Theory and the Newsvendor Problem.,2014,806,,,,
Improving Supply Chain Performance and Managing Risk Under Weather Related Demand Uncertainty.,2010,806,,,,
Factors Associated with the Year End Decline in Working Capital.,2017,806,,,,
Formal Enforcement Actions and Bank Behavior.,2017,806,,,,
A Tabu Search Heuristic for the Capacitated Lot Sizing Problem with Set up Carryover.,2001,806,,,,
Pricing and Allocation for Quality Differentiated Online Services.,2005,806,,,,
Robust Multiclass Queuing Theory for Wait Time Estimation in Resource Allocation Systems.,2019,806,,,,
Information Sharing in a Supply Chain Under ARMA Demand.,2005,806,,,,
Crowdsourcing New Product Ideas over Time: An Analysis of the Dell IdeaStorm Community.,2013,806,,,,
Testing the Transparency Implications of Mandatory IFRS Adoption: The Spread/Maturity Relation of Credit Default Swaps.,2016,806,,,,
Investment Under Uncertainty in Information Technology: Acquisition and Development Projects.,2003,806,,,,
A Bayesian Model for Prelaunch Sales Forecasting of Recorded Music.,2003,806,,,,
Discretionary Disclosure of Proprietary Information in a Multisegment Firm.,2010,806,,,,
Learning Preferences with Side Information.,2019,806,,,,
Building Brand Awareness in Dynamic Oligopoly Markets.,2008,806,,,,
Choosing the Devil You Don't Know: Evidence for Limited Sensitivity to Sample Size Based Uncertainty When It Offers an Advantage.,2017,806,,,,
Optimal Patenting and Licensing of Financial Innovations.,2008,806,,,,
Management Insights.,2011,806,,,,
A Dynamic Level k Model in Sequential Games.,2013,806,,,,
"Special Issue on Design and Development: Developing Products on ""Internet Time"": The Anatomy of a Flexible Development Process.",2001,806,,,,
The Value of Operational Flexibility in the Presence of Input and Output Price Uncertainties with Oil Refining Applications.,2014,806,,,,
The Effects of Financial Risks on Inventory Policy.,2005,806,,,,
Optimal Allocation of Proposals to Reviewers to Facilitate Effective Ranking.,2005,806,,,,
Fire Sales and House Prices: Evidence from Estate Sales Due to Sudden Death.,2017,806,,,,
"Comments on ""A New Product Growth for Model Consumer Durables The Bass Model"".",2004,806,,,,
Consumer Search and Retail Market Structure.,2019,806,,,,
Does Information Intensity Matter for Stock Returns? Evidence from Form 8 K Filings.,2017,806,,,,
Management Insights.,2015,806,,,,
A Decomposition Based Algorithm for the Scheduling of Open Pit Networks Over Multiple Time Periods.,2016,806,,,,
"Remanufacturing, Third Party Competition, and Consumers' Perceived Value of New Products.",2015,806,,,,
The Performance Implications of Media Richness in a Business to Business Service Environment: Direct Versus Indirect Effects.,2004,806,,,,
The Optimizer's Curse: Skepticism and Postdecision Surprise in Decision Analysis.,2006,806,,,,
Under One Roof: A Study of Simultaneously Managed Hedge Funds and Funds of Hedge Funds.,2016,806,,,,
"Contracts, Biases, and Consumption of Access Services.",2014,806,,,,
How Does Adoption of the Outlet Channel Impact Customers' Spending in the Retail Stores: Conflict or Synergy?,2016,806,,,,
How Do Value Creation and Competition Determine Whether a Firm Appropriates Value?,2004,806,,,,
Conscience Accounting: Emotion Dynamics and Social Behavior.,2014,806,,,,
Adjusting to the Information Environment: News Tangibility and Mutual Fund Performance.,2019,806,,,,
"Stature, Obesity, and Portfolio Choice.",2017,806,,,,
Product Recalls in the Medical Device Industry: An Empirical Exploration of the Sources and Financial Consequences.,2011,806,,,,
Hormonal Contraceptives Do Not Impact Economic Preferences: Evidence from a Randomized Trial.,2018,806,,,,
Human and Financial Capital for Microenterprise Development: Evidence from a Field and Lab Experiment.,2015,806,,,,
Overcoming Algorithm Aversion: People Will Use Imperfect Algorithms If They Can (Even Slightly) Modify Them.,2018,806,,,,
Iterative Combinatorial Auctions with Bidder Determined Combinations.,2005,806,,,,
A Theory of Corporate Boards and Forced CEO Turnover.,2018,806,,,,
Network Independent Partner Selection and the Evolution of Innovation Networks.,2010,806,,,,
Repurchasing Debt.,2015,806,,,,
Rewarding Volunteers: A Field Experiment.,2014,806,,,,
An Experimental Investigation of the Impact of Information on Competitive Decision Making.,2005,806,,,,
Overcoming Salience Bias: How Real Time Feedback Fosters Resource Conservation.,2018,806,,,,
Decentralized Supply Chains with Competing Retailers Under Demand Uncertainty.,2005,806,,,,
Agency Problems in Law Enforcement: Theory and Application to the U.S. Coast Guard.,2005,806,,,,
Crowding Out in the Labor Market: A Prosocial Setting Is Necessary.,2014,806,,,,
The Spillover Effects of Health IT Investments on Regional Healthcare Costs.,2018,806,,,,
White Lies.,2012,806,,,,
The Impact of Corporate Social Responsibility on Firm Value: The Role of Customer Awareness.,2013,806,,,,
Real Time Delay Estimation in Overloaded Multiserver Queues with Abandonments.,2009,806,,,,
A Constant Approximation Algorithm for the One Warehouse Multiretailer Problem.,2008,806,,,,
Warranty Signalling and Reputation.,2001,806,,,,
Quality Implications of Warranties in a Supply Chain.,2005,806,,,,
"Purchasing, Pricing, and Quick Response in the Presence of Strategic Consumers.",2009,806,,,,
The Impact of Idea Generation and Potential Appropriation on Entrepreneurship: An Experimental Study.,2018,806,,,,
An Empirical Examination of Dynamic Quality Based Learning Models.,2001,806,,,,
Efficient Timing of Communication in Multiperiod Agencies.,2001,806,,,,
"Franchising, Ownership, and Experience: A Study of Pizza Restaurant Survival.",2004,806,,,,
Performance Contracting in After Sales Service Supply Chains.,2007,806,,,,
Evidence on the Presence of Representativeness Bias in Investor Interpretation of Consistency in Sales Growth.,2017,806,,,,
Responsible Sourcing in Supply Chains.,2016,806,,,,
Are We Wise About the Wisdom of Crowds? The Use of Group Judgments in Belief Revision.,2009,806,,,,
Existence of Coordinating Transshipment Prices in a Two Location Inventory Model.,2007,806,,,,
Predicting Equity Liquidity.,2002,806,,,,
The Importance of Ordering in Sequential Auctions.,2003,806,,,,
The Impact of Uncertain Intellectual Property Rights on the Market for Ideas: Evidence from Patent Grant Delays.,2008,806,,,,
Management Insights.,2014,806,,,,
"Productivity Change, Technical Progress, and Relative Efficiency Change in the Public Accounting Industry.",2005,806,,,,
Cross Sided Liquidity Externalities.,2018,806,,,,
Static Mean Variance Analysis with Uncertain Time Horizon.,2006,806,,,,
An Empirical Analysis of Scarcity Strategies in the Automobile Industry.,2009,806,,,,
The Diseconomies of Queue Pooling: An Empirical Investigation of Emergency Department Length of Stay.,2015,806,,,,
Membership Herding and Network Stability in the Open Source Community: The Ising Perspective.,2007,806,,,,
Do Unions Affect Innovation?,2017,806,,,,
The Value of Field Experiments.,2015,806,,,,
Management Science and the Science of Management.,2008,806,,,,
Demand Forecasting Behavior: System Neglect and Change Detection.,2011,806,,,,
Equilibrium Discovery and Preopening Mechanisms in an Experimental Market.,2014,806,,,,
Searching for Structure: Formal Organization Design as a Guide to Network Evolution.,2018,806,,,,
"Aging Population, Retirement, and Risk Taking.",2016,806,,,,
Catastrophe Aversion and Risk Equity in an Interdependent World.,2018,806,,,,
Newsvendor Demand Chasing Revisited.,2013,806,,,,
Behavioral Estimation of Mathematical Programming Objective Function Coefficients.,2006,806,,,,
Grammar Based Integer Programming Models for Multiactivity Shift Scheduling.,2011,806,,,,
Does a Procurement Service Provider Generate Value for the Buyer Through Information About Supply Risks?,2015,806,,,,
Consumer Choice Models with Endogenous Network Effects.,2017,806,,,,
"Capacity Investment Under Postponement Strategies, Market Competition, and Demand Uncertainty.",2008,806,,,,
Specialization and Variety in Repetitive Tasks: Evidence from a Japanese Bank.,2012,806,,,,
Information Aggregation and Allocative Efficiency in Smooth Markets.,2014,806,,,,
"50th Anniversary Article: Technological Innovation, Product Development, and Entrepreneurship in Management Science.",2004,806,,,,
Introduction to the Special Issue on Strategic Dynamics.,2007,806,,,,
Reputation Transferability in Online Labor Markets.,2016,806,,,,
The Multiobjective Discrete Optimization Problem: A Weighted Min Max Two Stage Optimization Approach and a Bicriteria Algorithm.,2005,806,,,,
A Nonparametric Approach to Modeling Choice with Limited Data.,2013,806,,,,
"Big Data Investment, Skills, and Firm Value.",2014,806,,,,
Optimal Windows for Aggregating Ratings in Electronic Marketplaces.,2010,806,,,,
Balancing Search and Stability: Interdependencies Among Elements of Organizational Design.,2003,806,,,,
"Team Creativity, Cognition, and Cognitive Style Diversity.",2019,806,,,,
Oh What a Beautiful Morning! Diurnal Influences on Executives and Analysts: Evidence from Conference Calls.,2018,806,,,,
Analysis of Tailored Base Surge Policies in Dual Sourcing Inventory Systems.,2015,806,,,,
Simulating Sensitivities of Conditional Value at Risk.,2009,806,,,,
"A Matter of Balance: Specialization, Task Variety, and Individual Learning in a Software Maintenance Environment.",2009,806,,,,
Contract Preferences and Performance for the Loss Averse Supplier: Buyback vs. Revenue Sharing.,2016,806,,,,
Performance Bounds for Flexible Systems Requiring Setups.,2007,806,,,,
What Motivates Buy Side Analysts to Share Recommendations Online?,2018,806,,,,
A Single Product Inventory Model for Multiple Demand Classes.,2007,806,,,,
How Effective Are Electronic Reputation Mechanisms? An Experimental Investigation.,2004,806,,,,
A Person Organization Discontinuity in Contract Perception: Why Corporations Can Get Away with Breaking Contracts But Individuals Cannot.,2013,806,,,,
Tail Risk Concerns Everywhere.,2019,806,,,,
Lone Inventors as Sources of Breakthroughs: Myth or Reality?,2010,806,,,,
Management Insights.,2016,806,,,,
Maximum Commonality Problems: Applications and Analysis.,2008,806,,,,
"Socially Beneficial Rationality: The Value of Strategic Farmers, Social Entrepreneurs, and For Profit Firms in Crop Planting Decisions.",2019,806,,,,
"When to ""Fire"" Customers: Customer Cost Based Pricing.",2012,806,,,,
Founder or Joiner? The Role of Preferences and Context in Shaping Different Entrepreneurial Interests.,2015,806,,,,
Team Leadership and Performance: Combining the Roles of Direction and Contribution.,2018,806,,,,
The Impact of Losing in a Competition on the Willingness to Seek Further Challenges.,2016,806,,,,
The Role of Robust Optimization in Single Leg Airline Revenue Management.,2009,806,,,,
Sequential Search with Refinement: Model and Application with Click Stream Data.,2017,806,,,,
Friendships and Search Behavior in Labor Markets.,2014,806,,,,
Confidence Calibration in a Multiyear Geopolitical Forecasting Competition.,2017,806,,,,
Adverse Incentives in Crowdfunding.,2017,806,,,,
Reclaiming Quasi   Monte Carlo Efficiency in Portfolio Value at Risk Simulation Through Fourier Transform.,2006,806,,,,
Why Genius Leads to Adversity: Experimental Evidence on the Reputational Effects of Task Difficulty Choices.,2011,806,,,,
Multiple Sourcing and Procurement Process Selection with Bidding Events.,2009,806,,,,
A Demand Estimation Procedure for Retail Assortment Optimization with Results from Implementations.,2014,806,,,,
Habits of Virtue: Creating Norms of Cooperation and Defection in the Laboratory.,2016,806,,,,
On the External Validity of Social Preference Games: A Systematic Lab Field Study.,2019,806,,,,
Constrained Resource Assignments: Fast Algorithms and Applications in Wireless Networks.,2016,806,,,,
Ultimatum Deadlines.,2009,806,,,,
The Labor Illusion: How Operational Transparency Increases Perceived Value.,2011,806,,,,
Price Advertising by Manufacturers and Dealers.,2014,806,,,,
Computing Power Indices for Large Voting Games.,2003,806,,,,
Culture Clash: The Costs and Benefits of Homogeneity.,2010,806,,,,
Pioneering Plus a Broad Product Line Strategy: Higher Profits or Deeper Losses?,2009,806,,,,
Special Issue on Design and Development: Product Development Decisions: A Review of the Literature.,2001,806,,,,
When Private Beliefs Shape Collective Reality: The Effects of Beliefs About Coworkers on Group Discussion and Performance.,2003,806,,,,
Coordination Mechanisms in Decentralized Serial Inventory Systems with Batch Ordering.,2009,806,,,,
A No Arbitrage Analysis of Macroeconomic Determinants of the Credit Spread Term Structure.,2008,806,,,,
"A Nested Decomposition Approach to a Three Stage, Two Dimensional Cutting Stock Problem.",2001,806,,,,
Management Insights.,2013,806,,,,
Stochastic Dominance Analysis Without the Independence Axiom.,2017,806,,,,
Fairness in Bankruptcies: An Experimental Study.,2019,806,,,,
When Does Competition Foster Commitment?,2016,806,,,,
Gender Interactions Within the Family Firm.,2014,806,,,,
"Prospect Theory, Mental Accounting, and Differences in Aggregated and Segregated Evaluation of Lottery Portfolios.",2001,806,,,,
The Effect of Service Experiences over Time on a Supplier's Retention of Business Customers.,2006,806,,,,
GOTCHA! Network Based Fraud Detection for Social Security Fraud.,2017,806,,,,
Positioning on a Multiattribute Landscape.,2014,806,,,,
Risk Preferences at Different Time Periods: An Experimental Investigation.,2011,806,,,,
Note   Commonality Strategies: Value Drivers and Equivalence with Flexible Capacity and Inventory Substitution.,2004,806,,,,
Regulation and Market Liquidity.,2019,806,,,,
"Capital Structure, Product Market Dynamics, and the Boundaries of the Firm.",2014,806,,,,
"Choice Architecture, Framing, and Cascaded Privacy Choices.",2019,806,,,,
An Empirical Analysis of Self Enforcement Mechanisms: Evidence from Hotel Franchising.,2018,806,,,,
"Conflict Resolution, Public Goods, and Patent Thickets.",2016,806,,,,
Using a Bayesian Approach to Quantify Scale Compatibility Bias.,2002,806,,,,
Buyer Intermediation in Supplier Finance.,2018,806,,,,
Assessing Joint Distributions with Isoprobability Contours.,2010,806,,,,
"Call for Papers   Special Issue of Management Science: Business Analytics: Submission deadline: September 16, 2012 Expected publication date: First Quarter 2014.",2012,806,,,,
Search and Collusion in Electronic Markets.,2005,806,,,,
New Investors and Bubbles: An Analysis of the Baosteel Call Warrant Bubble.,2017,806,,,,
Competition in Portfolio Management: Theory and Experiment.,2015,806,,,,
User Generated Content and Bias in News Media.,2013,806,,,,
"Preferences, Identity, and Competition: Predicting Tie Strength from Demographic Data.",2005,806,,,,
Collusion in Bertrand vs. Cournot Competition: A Virtual Bargaining Approach.,2018,806,,,,
Real Options in Technology Licensing.,2007,806,,,,
The Auditor's Slippery Slope: An Analysis of Reputational Incentives.,2010,806,,,,
Between First  and Second Order Stochastic Dominance.,2017,806,,,,
A Spatiotemporal Analysis of the Global Diffusion of ISO 9000 and ISO 14000 Certification.,2007,806,,,,
Optimal and Naive Diversification in Currency Markets.,2017,806,,,,
Differences in Trading and Pricing Between Stock and Index Options.,2014,806,,,,
Dynamic Decision Making in Sequential Business to Business Auctions: A Structural Econometric Approach.,2019,806,,,,
Investment Implications of Information Acquisition and Leakage.,2003,806,,,,
Management Insights.,2013,806,,,,
Economic Interpretation of Probabilities Estimated by Maximum Likelihood or Score.,2011,806,,,,
Shared Savings Contracts for Indirect Materials in Supply Chains: Channel Profits and Environmental Impacts.,2001,806,,,,
Information Acquisition During Online Decision Making: A Model Based Exploration Using Eye Tracking Data.,2013,806,,,,
"Complex Systems   A New Paradigm for the Integrative Study of Management, Physical, and Technological Systems.",2007,806,,,,
Do Bags Fly Free? An Empirical Analysis of the Operational Implications of Airline Baggage Fees.,2017,806,,,,
Guilt by Association: Strategic Failure Prevention and Recovery Capacity Investments.,2013,806,,,,
Performance Appraisals and the Impact of Forced Distribution   An Experimental Investigation.,2013,806,,,,
A Comparison of Milestone Based and Buyout Options Contracts for Coordinating R&D Partnerships.,2015,806,,,,
Imprecise Data Sets as a Source of Ambiguity: A Model and Experimental Evidence.,2012,806,,,,
Mixed Bundling of Two Independently Valued Goods.,2013,806,,,,
Introduction to the Focused Issue on Entrepreneurship.,2006,806,,,,
High Powered Performance Pay and Crowding Out of Nonmonetary Motives.,2018,806,,,,
The Economics of Remanufacturing Under Limited Component Durability and Finite Product Life Cycles.,2007,806,,,,
Foreigners vs. Natives: Bank Lending Technologies and Loan Pricing.,2018,806,,,,
Management Insights.,2010,806,,,,
Creating and Transferring Knowledge for Productivity Improvement in Factories.,2001,806,,,,
Can Trustworthiness in a Supply Chain Be Signaled?,2018,806,,,,
Learning to Hire? Hiring as a Dynamic Experiential Learning Process in an Online Market for Contract Labor.,2018,806,,,,
The Effect of Payoff Feedback and Information Pooling on Reasoning Errors: Evidence from Experimental Markets.,2005,806,,,,
The Relationship Between Initial Quality Perceptions and Maintenance Behavior: The Case of the Automotive Industry.,2001,806,,,,
Dynamic Conditional Beta Is Alive and Well in the Cross Section of Daily Stock Returns.,2017,806,,,,
An Integrated Decision Making Approach for Improving European Air Traffic Management.,2008,806,,,,
Rational Herding in Microloan Markets.,2012,806,,,,
"Channel Integration, Sales Dispersion, and Inventory Management.",2017,806,,,,
Efficient Algorithms for the Dynamic Pricing Problem with Reference Price Effect.,2017,806,,,,
A Corporate Beauty Contest.,2017,806,,,,
The Value of Partial Resource Pooling: Should a Service Network Be Integrated or Product Focused?,2009,806,,,,
Reference Point Formation and Updating.,2011,806,,,,
Robust Comparative Statics of Risk Changes.,2016,806,,,,
Special Issue on Design and Development: Appropriateness and Impact of Platform Based Product Development.,2001,806,,,,
Patterned Interactions in Complex Systems: Implications for Exploration.,2007,806,,,,
Optimal Price and Product Quality Decisions in a Distribution Channel.,2009,806,,,,
Self Interested Routing in Queueing Networks.,2004,806,,,,
Industrial Development Through Tacit Knowledge Seeding: Evidence from the Bangladesh Garment Industry.,2018,806,,,,
Ensembles of Overfit and Overconfident Forecasts.,2017,806,,,,
"Inventory, Risk Shifting, and Trade Credit.",2017,806,,,,
A Structural Model of Employee Behavioral Dynamics in Enterprise Social Media.,2015,806,,,,
Modeling the Loss Distribution.,2011,806,,,,
The Rich Domain of Ambiguity Explored.,2018,806,,,,
"Corporate Strategy, Analyst Coverage, and the Uniqueness Paradox.",2012,806,,,,
Pricing American Style Derivatives with European Call Options.,2006,806,,,,
Making Sense of (Ultra) Low Cost Flights Vertical Differentiation in Two Sided Markets.,2018,806,,,,
Does Pay Activism Pay Off for Shareholders? Shareholder Democracy and Its Discontents.,2019,806,,,,
Competition Between Local and Electronic Markets: How the Benefit of Buying Online Depends on Where You Live.,2009,806,,,,
Evaluating Hedge Funds with Pooled Benchmarks.,2016,806,,,,
Jumps in Equity Index Returns Before and During the Recent Financial Crisis: A Bayesian Analysis.,2017,806,,,,
Business Unit Reorganization and Innovation in New Product Markets.,2009,806,,,,
The Impact of Gender Diversity on the Performance of Business Teams: Evidence from a Field Experiment.,2013,806,,,,
An Experimental Study of Information Revelation Policies in Sequential Auctions.,2011,806,,,,
Innovation and Attention to Detail in the Quality Improvement Paradigm.,2004,806,,,,
"Reference Dependent Utility, Product Variety, and Price Competition.",2018,806,,,,
The Impact of Time Shifting on TV Consumption and Ad Viewership.,2019,806,,,,
Mental Equilibrium and Strategic Emotions.,2017,806,,,,
Higher Prices for Larger Quantities? Nonmonotonic Price Quantity Relations in B2B Markets.,2017,806,,,,
Valuing Internal vs. External Knowledge: Explaining the Preference for Outsiders.,2003,806,,,,
Entry and Patenting in the Software Industry.,2011,806,,,,
Optimal Software Reuse in Incremental Software Development: A Transfer Pricing Approach.,2014,806,,,,
Gender Differences in the Willingness to Compete Emerge Early in Life and Persist.,2015,806,,,,
What's Your Identification Strategy? Innovation in Corporate Finance Research.,2017,806,,,,
Price Search and Periodic Price Discounts.,2018,806,,,,
Social Labeling by Competing NGOs: A Model with Multiple Issues and Entry.,2017,806,,,,
Incentives and Problem Uncertainty in Innovation Contests: An Empirical Analysis.,2011,806,,,,
The Effect of Giving It All Up on Valuation: A New Look at the Endowment Effect.,2014,806,,,,
Global Dual Sourcing: Tailored Base Surge Allocation to Near  and Offshore Production.,2010,806,,,,
Management Insights.,2015,806,,,,
A Contract and Balancing Mechanism for Sharing Capacity in a Communication Network.,2006,806,,,,
Betting Your Favorite to Win: Costly Reluctance to Hedge Desired Outcomes.,2018,806,,,,
"Suckers Are Born but Markets Are Made: Individual Rationality, Arbitrage, and Market Efficiency on an Electronic Futures Market.",2004,806,,,,
What You Don't Know...Can't Hurt You? A Natural Field Experiment on Relative Performance Feedback in Higher Education.,2019,806,,,,
An Interactive Evolutionary Metaheuristic for Multiobjective Combinatorial Optimization.,2003,806,,,,
Old Is Gold? The Value of Temporal Exploration in the Creation of New Knowledge.,2003,806,,,,
Changes in the Composition of Publicly Traded Firms: Implications for the Dividend Price Ratio and Return Predictability.,2015,806,,,,
Financial Regulatory Reform After the Crisis: An Assessment.,2018,806,,,,
Beautiful Lemons: Adverse Selection in Durable Goods Markets with Sorting.,2017,806,,,,
When Kerry Met Sally: Politics and Perceptions in the Demand for Movies.,2014,806,,,,
Do Mandatory Overtime Laws Improve Quality? Staffing Decisions and Operational Flexibility of Nursing Homes.,2017,806,,,,
On Socially Optimal Queue Length.,2016,806,,,,
Information Sharing and Spillovers: Evidence from Financial Analysts.,2019,806,,,,
Consumers' Price Sensitivities Across Complementary Categories.,2007,806,,,,
Risk Aversion and Son Preference: Experimental Evidence from Chinese Twin Parents.,2018,806,,,,
Introduction to the Special Issue on Call Center Management.,2008,806,,,,
Online Haggling at a Name Your Own Price Retailer: Theory and Application.,2005,806,,,,
Compensation and Peer Effects in Competing Sales Teams.,2014,806,,,,
Do Empty Creditors Matter? Evidence from Distressed Exchange Offers.,2017,806,,,,
Alliance Formation and Firm Value.,2019,806,,,,
The Impact of New Product Introduction on Plant Productivity in the North American Automotive Industry.,2013,806,,,,
An Exact Algorithm for Finding Extreme Supported Nondominated Points of Multiobjective Mixed Integer Programs.,2010,806,,,,
Shopping for Information? Diversification and the Network of Industries.,2015,806,,,,
Bending the Pipeline? Executive Search and Gender Inequality in Hiring for Top Management Jobs.,2016,806,,,,
Management Insights.,2010,806,,,,
"The Limit of Rationality in Choice Modeling: Formulation, Computation, and Implications.",2019,806,,,,
Sourcing Strategies and Supplier Incentives for Short Life Cycle Goods.,2016,806,,,,
Research Note: Customer Intimacy and Cross Selling Strategy.,2005,806,,,,
Bundled Payment vs. Fee for Service: Impact of Payment Scheme on Performance.,2017,806,,,,
Incentives in New Product Development Projects and the Role of Target Costing.,2010,806,,,,
An Example and a Proposal Concerning the Correlation of Worker Processing Times in Parallel Tasks.,2010,806,,,,
The Benefits of Relationship Lending in a Cross Country Context: A Meta Analysis.,2016,806,,,,
Quality Improvement Incentives and Product Recall Cost Sharing Contracts.,2009,806,,,,
A Model of Mental Accounting and Reference Price Adaptation.,2017,806,,,,
Aggregate Social Discount Rate Derived from Individual Discount Rates.,2002,806,,,,
Comparative Reliability of Verdicts.,2001,806,,,,
Management Insights.,2012,806,,,,
Total Cost Procurement Auctions: Impact of Suppliers' Cost Adjustments on Auction Format Choice.,2009,806,,,,
Competing with Privacy.,2015,806,,,,
A Bridge Too Far: Divestiture as a Strategic Reaction to Status Inconsistency.,2019,806,,,,
Laboratory Evidence on the Effects of Sponsorship on the Competitive Preferences of Men and Women.,2018,806,,,,
Coordinated Logistics with a Truck and a Drone.,2018,806,,,,
Estimating Demand for Mobile Applications in the New Economy.,2014,806,,,,
Dynamic Pricing in the Presence of Social Learning and Strategic Consumers.,2017,806,,,,
Designing Incentive Systems for Truthful Forecast Information Sharing Within a Firm.,2018,806,,,,
Project Assignments When Budget Padding Taints Resource Allocation.,2006,806,,,,
Managing Disruption Risk: The Interplay Between Operations and Insurance.,2012,806,,,,
Solving Project Scheduling Problems by Minimum Cut Computations.,2003,806,,,,
"Analysts' Reputational Concerns, Self Censoring, and the International Dispersion Effect.",2018,806,,,,
Consumer Favorites and the Design of News.,2014,806,,,,
Do Consumers Take Advantage of Common Pricing Standards? An Experimental Investigation.,2018,806,,,,
Preference Reversals for Ambiguity Aversion.,2011,806,,,,
Selectionism and Learning in Projects with Complexity and Unforeseeable Uncertainty.,2004,806,,,,
Responding to Unexpected Overloads in Large Scale Service Systems.,2009,806,,,,
Contracting in Supply Chains: A Laboratory Investigation.,2009,806,,,,
Antecedents and Consequences of Group Potency: A Study of Self Managing Service Teams.,2005,806,,,,
Empirical Analysis of Ambulance Travel Times: The Case of Calgary Emergency Medical Services.,2010,806,,,,
The Surprising Effectiveness of Hostile Mediators.,2017,806,,,,
Competition and Structure in Serial Supply Chains with Deterministic Demand.,2001,806,,,,
"Individual Differences in Correspondence Bias: Measurement, Consequences, and Correction of Biased Interpersonal Attributions.",2018,806,,,,
Mobile Messaging for Offline Group Formation in Prosocial Activities: A Large Field Experiment.,2019,806,,,,
Problem   Solving Oscillations in Complex Engineering Projects.,2003,806,,,,
Overcoming Resistance to Organizational Change: Strong Ties and Affective Cooptation.,2013,806,,,,
"Remark on ""Appropriateness and Impact of Platform   Based Product Development"".",2003,806,,,,
The Impact of Financial Covenants in Private Loan Contracts on Classification Shifting.,2019,806,,,,
Coordinating Contracts for Decentralized Supply Chains with Retailer Promotional Effort.,2004,806,,,,
The Utilization of Competing Technologies Within the Firm: Evidence from Cardiac Procedures.,2003,806,,,,
Decentralized Pricing and Capacity Decisions in a Multitier System with Modular Assembly.,2004,806,,,,
A Theory of Volatility Spreads.,2006,806,,,,
When the Meaning of Work Has Disappeared: Experimental Evidence on Employees' Performance and Emotions.,2017,806,,,,
The Effects of Focus on Performance: Evidence from California Hospitals.,2011,806,,,,
The Financial Impact of ISO 9000 Certification in the United States: An Empirical Analysis.,2005,806,,,,
Overcommitment in Cloud Services: Bin Packing with Chance Constraints.,2019,806,,,,
"Hindsight Bias, Risk Perception, and Investment Performance.",2009,806,,,,
Marriage and Managers' Attitudes to Risk.,2014,806,,,,
The Role of the Management Sciences in Research on Personalization.,2003,806,,,,
"Maxing Out Globally: Individualism, Investor Attention, and the Cross Section of Expected Stock Returns.",2018,806,,,,
